game, winner
j10i9j8i7j9j11j7j6h8g8i10g10k10l10i8l11k8l8h11g12l7, b
j10i9j8i8i11j9l11i7i6h7g6j7g7h9k9g10f11k6, w
j10i9j8i8j9j11i10j6l10k10l7k8k9m11l8m7l9l11l6, b
j10i9j8j7k9i7i8l8k7k8l10m10l9m8m11n12j9n8o8j12l11k10l12l13o9n10n9m9o11n11o10o12o7, b
j10i9h10i10i7i12i11g9j9h9k9l8j8j11l10m11h6, b
j10i9k9h12i11l8j8m11i7h6j11j9k11h11i10k10h10f10i13j12h9k12i12i14l11i8l12h13l9l10m13n14h7f7h14f8f9e9g7f11g12d8c7g11, w
j10i9i10h10j8k9k8j9l9h8h9l8m10n11j7i6j11k12k10l10i12h13m8, b
j10i9j8j7i7g5k9l10i11h12l8m7k8m8h8i8j6k5k7k10m9n10i5, b
j10i9j8j9k9h6l10m11l8m7i11h12k8m8k10k11i10h10m10, b
j10i9k9i11i10h10k13g9f8h9f9h11h12g11f11f12e13j8, w
j10i9k9l8i11l10k7l9l7n7h12g13j7i7j9j8k8k6i10h11m6, b
j10i9h10h9j9j7g10i10j11j12i8i11i12k10g9h7g7g8f8f9i6e10d11h6h8i7e7d6e6k7l7k9k8j8l10g5, w
j10i9i10l10h10g10j9j7j11j12h9g8h11g12h12h13h8, b
j10i9h10i11i8j9l9h9g9g8e6f8h8k8i10g10e8k10e9e7e11f10f11e10d11g11f9d10c10b11c9d9c8c7b9d7e12f13a8, b
j10i9h10j9k10i10i11k9h9i8h8h11g12i7i6l7k8l9m9l10l8j8m11h6, w
j10i9j9j11i8h7l11h9k10m12m10l10k12n9h10k11i10g10j13i14k8l7h11g12j8h8j7j6l9n11i6, b
j10i9j8i7j9j7i8k8h7k10i6j11g6f5g8j5h8f8h6h9f6e6j6, b
j10i9i10h10g11h9h12e9i11g13i13j14i12i14k9l8h11f11g12j9f12e12j12, b
j10i9k9j8k7l8k8k6k10k11m10l10l9n11j7i6m7l7m8n7m9m11m6, b
j10i9k9l8i11h12l10m11k10i10m10n10k11k8k13k12j12l14i13h14m9, b
j10i9h10i11i10g10k10l10h9j11h11h12h7h8j9g12i8l11g6, b
j10i9j9j8i8k10j11k7h10j12k9i11l8i10l6h7n6m7l7l5k6m6n9m8l9l10m9, b
j10i9h10i11i10g10h9j11g8h11k11e8f9e10e6f7d9k10g11i12h13f10d10d8e9g9f8g7i7j13k14h8e11c9e7f6e5i14c11b12f5i13l9i15, w
j10i9i10g10j9h10j12j11g12h11g11i12j13h13h12g14f15k10, w
j10i9j8k9j9j11k10i8i7l10i10g10j7j6l7k8k7h7m7, b
j10i9i10j9k10h10k7k9h9l10j8m9l9j11m8o7n8p8k8l8n7o6j7i6n11m10n9n10k6i8l7o10m7, b
j10i9j8i8i11i10j7j9k9h12i7h6l10m11l7k7l8m7l9l11l6, b
j10i9j8j9g9i7l9i11l7i10i8l8g12h8j7g10k6l5j5i4j6j4i6l6k8m10h5, b
j10i9i10j9h9g10k9h10g8f7k7i11j11k12j8i7h7i6i8h8g9g7k8k10k6k5l8m8j6m9h4i5l5j7l6n6l7l9l4, b
j10i9h10i10i11k9j12k13g9f8k11j11l10m9i13h14h9h8h13g8e8i8j8i6i7h7f9j9l9k10l11g6, w
j10i9k9j8k7m7h10k10k8k6i10l7h12i11h11h13h9h8g10f10j9g12j11k12j13j12i12k14f9, b
j10i9h10k9i10k10h9k12k11j11j9h11k6m8l9k8l8h6g10f10j7i8l6l7j6j8m6i6n6, b
j10i9j8i8i10j7g10h10i7h6h9g8m10j9k10l10m9l13h8g9j6i11f8m12k5l4m7m8l6j4o9n8k6m6k7l8k8k9k4, b
j10i9i10l10k9m7g10h10g11g9f9j12i11h12h11j11i12j13e8, b
j10i9j9j8k7i7l10k9i8k10g5h7k11m9l9l8e7g7f6h4j7k8m7h9l7n7n8h8h6h10h11g9f10g11f12g8g10f9e9e10d11i6, w
j10i9h10h9g10i10i11g8f7k9j9j12f9i12k12e8i7f8d8h8i8h7h12k10j11i6g13f14g11h11g12g14g9, b
j10i9h10i10i12i11i7j9k9h11g12k8l7f11g11f12f10g9g13g14h12e9i13j14j12k12l10j8k11h14m9, b
j10i9k9i11j8i7i8j7h8g8h7g6k8l8k10k7h10i10h9h11h6, b
j10i9j8i7i8k8j7j9h9g10k9g8g9h11i10h12f9h10f10f12f8f7k6l5d12e11h14g11e13f11d11i11, w
j10i9j8k9j9j11j7j6k6i10i7i11i12k11l11k12h9k10k13k8, w
j10i9i10g10l10k10j8j7k9m11h6i7l8m7i11h12l7l9k8j9i8h8m8, b
j10i9j9j7i10h10j12j11k10k8h11k7j8k6k5i6h5m10l9i8h9i7i5h7g7l7, w
j10i9i10h10k7f12g11h9h12k9j9j7j11j12h11i11g12f13k8, b
j10i9h10i11i10g10k10l10l9k9j11i12n7m8h9g8k12l13h7h8j9j8i8l11g6, b
j10i9h10k9i10g10g9j12e7f8l10k10j9k12k11l12i12h11j7j8e8k7k8e9l7m6l9l8m10n11i6, b
j10i9i10j9h9f7h10g10l10k10h12h11i11g13l8k9k12j11j12g9i12g12l12, b
j10i9j8i7j9j11j7j6i6k8h8i10i12g8h9i8i11h10l8k9g10f9h7k12f12h5j5k4k5k11k10k14l5m5i14k13k15l6i13i15h12g12j14l16g11, b
